Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020]
2612802,santa-terezinhense,ADEILSON LUSTOSA DA SILVA,200.327,10244,51.14,97.8,0.593,19.42,29395.25562,29130.4728,7802.12,
2613008,s&atilde;o-bentense,PEDRO ALEXANDRE MEDEIROS DE SOUZA,719.148,49448,68.76,93.0,0.593,10.06,117545.24283,93583.40378,22249.15,
2613107,s&atilde;o-caitanense,JOSAFA ALMEIDA LIMA,382.483,37126,97.07,97.2,0.591,15.59,65800.72051,56621.96159,10876.52,
2613206,s&atilde;o-joanense,JOSE WILSON FERREIRA DE LIMA,258.519,23835,92.2,96.3,0.57,12.54,55297.47295,50985.04308,11533.52,
2613305,s&atilde;o-joaquinense,EDUARDO JOS&Eacute; DE OLIVEIRA LINS,227.385,20037,88.12,94.2,0.537,26.14,50888.58426,49066.54777,8214.89,
2613503,belmontense,FRANCISCO ROMONILSON MARIANO DE MOURA,1474.086,34843,23.64,96.2,0.61,-,64494.89618,62959.79589,8927.88,
2613602,egipsiense,EVANDRO PERAZZO VALADARES,774.037,31004,40.05,98.9,0.635,2.5,73405.26229,72014.14856,11549.47,
2613909,serra-talhadense,M&Aacute;RCIA CONRADO DE LORENA E S&Aacute;,2980.007,92228,30.95,96.7,0.661,10.5,193463.69766,185581.59534,18214.14,
2614006,serritense,SEBASTIAO BENEDITO DOS SANTOS,1535.19,18207,11.86,98.1,0.595,3.72,49139.0361,48298.98624,7741.24,
2614105,sertaniense,&Acirc;NGELO RAFAEL FERREIRA DOS SANTOS,2421.527,32811,13.55,94.6,0.613,15.56,76416.70195,67487.93013,10013.52,
2614303,moreirense,VICENTE TEIXEIRA SAMPAIO NETO,404.287,10540,26.07,96.8,0.6,-,32639.96161,33534.79318,7938.14,
2614402,solidanense,DJALMA ALVES DE SOUZA,138.398,5210,37.65,96.9,0.585,10.31,22765.32282,19023.23919,8114.67,
2614501,surubinense,ANA C&Eacute;LIA CABRAL DE FARIAS,252.896,64120,253.54,97.8,0.635,8.13,110620.90318,108333.5446,12521.0,
2614600,tabirense,MARIA CLAUDENICE PEREIRA DE MELO CRISTOVAO,390.434,27681,70.9,97.2,0.605,18.78,54035.70347,53162.95659,9900.06,
2614709,tacaimboense,ALVARO ALCANTARA MARQUES DA SILVA,227.601,13738,60.36,94.4,0.554,5.24,28542.71907,25822.94591,12175.64,
2614808,tacaratuense,WASHINGTON ANGELO DE ARAUJO,1264.532,23902,18.9,96.3,0.573,16.56,51205.88989,55955.89521,7816.53,
2615003,norte taquaritinguense,IVANILDO MESTRE BEZERRA,475.184,24736,52.06,96.2,0.641,8.62,50818.96774,49121.45215,9998.56,
2615102,terezinhense,MATHEUS EMIDIO DE BARROS CALADO,151.45,6513,43.0,95.7,0.545,22.99,21604.02366,19867.65921,9732.99,
2615201,terra-novense,ALINE CLEANNE FILGUEIRA FREIRE DE CARVALHO,318.709,8920,27.99,98.2,0.599,17.86,27518.08336,23823.40346,7826.42,
2615409,toritamense,EDILSON TAVARES DE LIMA,25.704,41137,1600.41,91.5,0.618,18.31,83083.63642,76623.86499,15323.72,
2615607,trindadense,HELBE DA SILVA RODRIGUES NASCIMENTO,295.765,30321,102.52,97.9,0.595,16.84,70901.81336,71749.18902,11191.1,
