,CDESTACAO,SGUF,ENTIDADE,CORPODAGUA,LATITUDE,LONGITUDE,MIN_2019,MIN_2020,MIN_2021,MED_2019,MED_2020,MED_2021,MAX_2019,MAX_2020,MAX_2021
221,SC7754I20,SC,SDE-SC,Rio Itajaí Mirim,-27.033156,-48.860993,64.187433,,,68.666526,,,76.361559,,
222,SC-7754-R-21,SC,SDE-SC,Rio Garcia,-27.028293,-49.092976,,72.106637,71.942042,,73.129549,73.222514,,73.999411,76.637489
223,SC-7755-I-18,SC,SDE-SC,Rio Camboriu,-27.020448,-48.657105,,43.333119,43.333119,,55.074566,52.050973,,66.892347,66.892347
224,SC-7754-I-13,SC,SDE-SC,Rio Itajaí-Açu,-26.941915,-49.289889,,64.287804,61.054778,,69.775182,68.613196,,74.996471,80.450519
225,SC7754I4,SC,SDE-SC,Rio Itajaí-Açu,-26.9181,-49.0653,66.447782,,,67.864506,,,69.203568,,
226,SC-7754-I-4,SC,SDE-SC,Rio Itajaí-Açu,-26.918074,-49.0653,,57.533603,54.172199,,66.362749,64.443049,,72.437167,72.437167
227,SC-7754-I-12,SC,SDE-SC,Rio Itajaí-Açu,-26.895079,-48.8244,63.483962,55.615848,52.502528,65.658453,58.903769,59.190733,69.405606,63.502013,65.035948
228,SC-7753-I-3,SC,SDE-SC,Rio Itajaí-Açu,-26.892437,-49.138841,,59.124607,47.817307,,65.625027,61.353391,,71.763876,71.763876
229,SC7753I3,SC,SDE-SC,Rio Itajaí-Açu,-26.892427,-49.138838,56.482951,,,64.227245,,,68.842935,,
230,SC-7754-I-9,SC,SDE-SC,Rio Benedito,-26.8297,-49.2719,49.830921,50.899204,50.899204,61.44057,62.844899,63.424398,70.802896,71.580508,77.274176
231,SC-7754-R-22,SC,SDE-SC,Rio Hercílio,-26.699987,-49.830895,,67.133722,57.189957,,69.657924,68.379658,,72.280777,74.71601
232,SC-7751-I-22,SC,SDE-SC,Rio Putanga,-26.572694,-48.977167,,62.005598,48.916288,,66.383205,62.865308,,72.159701,72.159701
233,SC7751I22,SC,SDE-SC,Rio Putanga,-26.572678,-48.977172,49.725122,,,62.40922,,,72.09974,,
234,SC7752I2,SC,SDE-SC,Rio Itapocu,-26.524968,-48.883841,48.326715,,,65.740004,,,74.254701,,
235,SC-7752-I-2,SC,SDE-SC,Rio Itapocu,-26.524947,-48.883843,,64.001409,51.460197,,67.343698,64.208194,,73.704263,73.704263
236,SC7752I1,SC,SDE-SC,Rio Itapocu,-26.48,-49.0808,50.990111,,,64.405744,,,74.132831,,
237,SC-7752-I-1,SC,SDE-SC,Rio Itapocu,-26.4799,-49.0808,,57.669776,47.032091,,62.547033,59.170482,,65.442997,65.442997
238,SC-7752-I-4,SC,SDE-SC,Rio Piraí,-26.4481,-48.8311,39.538669,56.09865,56.09865,60.198155,64.349061,65.841522,70.168578,74.781845,74.781845
239,SC-7751-I-1,SC,SDE-SC,Rio Piraí,-26.2489,-48.9783,48.245311,68.685661,68.685661,68.615866,73.666933,75.945047,75.773268,81.32644,84.23662
240,SC-7751-R-26,SC,SDE-SC,Rio Cubatão,-26.142869,-48.995956,,65.831699,65.831699,,73.878073,74.862594,,84.64191,84.64191
241,AI52,PR,IAP,Rio dos Patos,-25.754393,-49.324957,,,,,,,,,
242,65019400,PR,Águas Paraná,Rio Mauricio,-25.720667,-49.317361,,,,,,,,,
243,AI23,PR,IAP,Rio Mauricio,-25.720391,-49.317611,,,,,,,,,
244,AI54,PR,IAP,Rio Faxinal,-25.657398,-49.379227,,,,,,,,,
245,65019850,PR,Águas Paraná,Rio Faxinal,-25.657306,-49.379139,,,,,,,,,
246,AI26,PR,IAP,Rio Despique,-25.646239,-49.256981,,,,,,,,,
247,65019500,PR,Águas Paraná,Rio Mauricio,-25.64602,-49.359438,,,,,,,,,
248,65017035,PR,,,-25.645643,-49.257665,,74.47488,,,76.031975,,,77.589069,
249,64620000,PR,Águas Paraná,Rio dos Patos,-25.641319,-49.073042,,,,,,,,,
250,AI38,PR,IAP,Rio Miringuava,-25.634586,-49.084791,,,,,,,,,
251,AI50,PR,IAP,Rio Miringuava-mirim,-25.626448,-49.173314,,,,,,,,,
252,65014980,PR,Águas Paraná,Rio Miringuava Mirim,-25.62596,-49.173606,,,,,,,,,
253,64682000,PR,Águas Paraná,Rio dos Indios,-25.622369,-49.251573,,,,,,,,,
254,65017020,PR,Águas Paraná,Rio Cotia,-25.622,-49.251111,,,,,,,,,
255,AI10,PR,IAP,Rio Barigui,-25.61476,-49.357548,,,,,,,,,
256,65019700,PR,Águas Paraná,Rio Barigui,-25.613847,-49.356899,,,,,,,,,
257,AI87,PR,IAP,Rio Miringuava,-25.605148,-49.128707,,,,,,,,,
258,65019980,PR,Águas Paraná,Rio Iguaçu,-25.600459,-49.398047,,27.886478,27.33033,,34.200459,38.031379,,38.319868,58.807507
259,AI14,PR,IAP,Rio Iguaçu,-25.600423,-49.513552,,,,,,,,,
260,65025000,PR,Águas Paraná,Rio Iguacu,-25.600361,-49.513556,,32.895324,38.582574,,40.053741,42.328629,,45.024193,46.081473
261,65017006,PR,Águas Paraná,Rio Iguaçu,-25.599166,-49.260987,,23.277453,23.277453,,33.985163,35.957829,,44.630147,47.326764
262,AI24,PR,IAP,Rio Iguaçu,-25.599143,-49.260881,,,,,,,,,
263,AI07,PR,IAP,Rio Miringuava,-25.589573,-49.228486,,,,,,,,,
264,65015400,PR,Águas Paraná,Rio Miringuava Mirim,-25.589333,-49.228639,,49.3543,49.3543,,57.621615,63.167126,,65.392414,74.556807
265,AI25,PR,IAP,Rio Iguaçu,-25.588596,-49.631963,,,,,,,,,
266,AI12,PR,IAP,Rio Verde,-25.580311,-49.583058,,,,,,,,,
267,65027000,PR,Águas Paraná,Rio Verde,-25.579944,-49.583167,,43.053236,43.053236,,55.588392,64.40068,,66.672632,75.292723
268,65024000,PR,Águas Paraná,Rio Passauna,-25.574497,-49.429927,,33.583049,33.583049,,48.559839,45.312832,,63.948339,51.623339
269,AI11,PR,IAP,Rio Passaúna,-25.572355,-49.250757,,,,,,,,,
270,AI40,PR,IAP,Rio Pequeno,-25.567535,-49.000637,,,,,,,,,
271,64925100,PR,Águas Paraná,Rio Paraná,-25.55,-54.5831,,,,,,,,,
272,AI13,PR,IAP,Rio Iguaçu,-25.547918,-49.888624,,,,,,,,,
273,AI37,PR,IAP,Rio Passaúna,-25.547671,-49.409716,,,,,,,,,
274,AI09,PR,IAP,Rio Padilha,-25.547588,-49.245136,,,,,,,,,
275,AI20,PR,IAP,Rio Iguaçu,-25.527971,-49.219005,,,,,,,,,
276,AI36,PR,IAP,Rio Passaúna,-25.526542,-49.392035,,,,,,,,,
277,AI22,PR,IAP,Rio Itaqui,-25.525152,-49.091248,,,,,,,,,
278,65006080,PR,Águas Paraná,Rio Itaqui,-25.524667,-49.091028,,,,,,,,,
279,AI18,PR,IAP,Rio Pequeno,-25.519296,-49.145531,,,,,,,,,
280,65010000,PR,Águas Paraná,Rio Pequeno,-25.519196,-49.146846,,54.62312,62.231796,,69.414479,75.527834,,88.517237,88.517237
281,AI61,PR,IAP,Rio Barigui,-25.514105,-49.336545,,,,,,,,,
282,AI68,PR,IAP,Rio Cambui,-25.50962,-49.546529,,,,,,,,,
283,AI88,PR,IAP,Rio Itaqui,-25.501605,-49.120975,,,,,,,,,
284,AI91,PR,IAP,Rio Piraquara,-25.500453,-49.103038,,,,,,,,,
285,AI90,PR,IAP,Rio Piraquara,-25.499687,-49.044692,,,,,,,,,
286,65011500,PR,Águas Paraná,Rio Belem,-25.491222,-49.228778,,,,,,,,,
287,AI15,PR,IAP,Rio Belém,-25.491044,-49.229108,,,,,,,,,
288,65011400 ou AI41,PR,Águas Paraná,Rio Belem,-25.489655,-49.090367,,,,,,,,,
289,65011400 ou AI41,PR,IAP,Rio Piraquara,-25.489655,-49.090367,,,,,,,,,
290,AI04,PR,IAP,Rio Iguaçu,-25.483983,-49.189796,,,,,,,,,
291,65009000,PR,Águas Paraná,Rio Iguacu,-25.483441,-49.189418,,19.86714,21.494034,,29.79572,30.835379,,40.121072,38.080144
292,AI71,PR,IAP,Rio Iraí,-25.482422,-49.189143,,,,,,,,,
293,AI45,PR,IAP,Rio Curralinho,-25.480678,-49.053035,,,,,,,,,
294,AI48,PR,IAP,Rio Itaqui,-25.470318,-49.151693,,,,,,,,,
295,AI67,PR,IAP,Rio Vila Parolin,-25.469526,-49.258155,,,,,,,,,
296,AI35,PR,IAP,Rio Ferraria,-25.45998,-49.402288,,,,,,,,,
297,AI17,PR,IAP,Rio Iraí,-25.453668,-49.17087,,,,,,,,,
298,AI16,PR,IAP,Rio Piraquara,-25.450833,-49.120833,,,,,,,,,
299,65004995,PR,Águas Paraná,Rio Piraquara,-25.450585,-49.121354,,26.061776,73.79842,,66.065909,78.338975,,81.686008,81.686008
300,AI60,PR,IAP,Rio Barigui,-25.449803,-49.314043,,,,,,,,,
